Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev	 Repeated	 R_std_dev	 Lower	 L_std_dev	 Higher	 H_std_dev
52	 368413,2047	 71884,5487	 439040955738677350000000000000000000000000000000000000000000000000000000,0000	 2404725864273868400000000000000000000000000000000000000000000000000000000,0000	 43904095573867736000000000000000000000000000000000000000000000000000000000,0000	 240472586427386800000000000000000000000000000000000000000000000000000000000,0000	 11,8667%	 15,5890%	 89,9333%	 13,6658%	 10,0667%	 13,6658%
53	 366920,0471	 71294,8537	 399653573603617700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2188992774502527200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 39965357360361770000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 218899277450252730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 11,2000%	 15,6236%	 90,1333%	 12,6457%	 9,8667%	 12,6457%
54	 365597,8568	 71157,6538	 127412698097276250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 687596349426155200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12741269809727622000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 68759634942615490000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 9,0333%	 12,7833%	 88,7333%	 13,9010%	 11,2667%	 13,9010%
55	 363215,7436	 71863,8923	 6808377422394340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 37291018942542570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 680837742239434000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3729101894254258000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 9,9000%	 13,5630%	 87,5667%	 14,5784%	 12,4333%	 14,5784%
56	 360657,2123	 73729,3140	 10955646367837130000000000000000000000000000000000000000000000000000000000,0000	 59964516144044930000000000000000000000000000000000000000000000000000000000,0000	 1095564636783712800000000000000000000000000000000000000000000000000000000000,0000	 5996451614404490000000000000000000000000000000000000000000000000000000000000,0000	 10,0667%	 14,1761%	 87,8667%	 13,5232%	 12,1333%	 13,5232%
57	 355759,9595	 71356,7842	 55882186132764600000000000000000000000000000000000000,0000	 306078746130810850000000000000000000000000000000000000,0000	 5588218613276459000000000000000000000000000000000000000,0000	 30607874613081090000000000000000000000000000000000000000,0000	 9,0000%	 12,4596%	 89,4333%	 15,0967%	 10,5667%	 15,0967%
58	 350765,6700	 70867,3654	 982396161165058000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 5380805378765830000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 98239616116505800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 538080537876583000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 10,2667%	 13,6910%	 89,2667%	 12,3649%	 10,7333%	 12,3649%
59	 350347,9941	 73586,0714	 42438453652300740000000000000000000000000000000,0000	 232444983200746300000000000000000000000000000000,0000	 4243845365230074000000000000000000000000000000000,0000	 23244498320074640000000000000000000000000000000000,0000	 9,8667%	 13,4517%	 88,2333%	 12,9739%	 11,7667%	 12,9739%
60	 351928,0938	 72939,0759	 445694648591133740000000000000000000000000000000000000000000000000000000000000000,0000	 2441170127927021000000000000000000000000000000000000000000000000000000000000000000,0000	 44569464859113380000000000000000000000000000000000000000000000000000000000000000000,0000	 244117012792702000000000000000000000000000000000000000000000000000000000000000000000,0000	 9,7333%	 11,6232%	 83,2000%	 15,2143%	 16,8000%	 15,2143%
61	 351099,1859	 73732,7140	 264891216676928500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1445828112481096700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 26489121667692850000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 144582811248109600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 9,4667%	 13,7684%	 88,3000%	 13,1939%	 11,7000%	 13,1939%
62	 351846,7081	 72465,1540	 1012529196813245500000000,0000	 4363757858913741700000000,0000	 101252719198660450000000000,0000	 436375834000705300000000000,0000	 10,0667%	 14,3885%	 89,2667%	 11,1940%	 10,7333%	 11,1940%
63	 349755,4177	 73990,1526	 18598467662453620000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 101824794696482820000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1859846766245361700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 10182479469648283000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 10,1333%	 14,3905%	 88,1333%	 13,4619%	 11,8667%	 13,4619%
64	 347765,5204	 75454,7975	 123260413628297620000000000000000000000000000000000000000,0000	 675125089915576450000000000000000000000000000000000000000,0000	 12326041362829764000000000000000000000000000000000000000000,0000	 67512508991557650000000000000000000000000000000000000000000,0000	 10,1333%	 14,9499%	 89,3000%	 12,6686%	 10,7000%	 12,6686%
65	 347406,0248	 75698,7250	 194102505543932600000000000000000000000000000000000000000000000000,0000	 1063143207546835000000000000000000000000000000000000000000000000000,0000	 19410250554393258000000000000000000000000000000000000000000000000000,0000	 106314320754683520000000000000000000000000000000000000000000000000000,0000	 10,6000%	 16,2536%	 91,4333%	 11,5779%	 8,5667%	 11,5779%
66	 344817,8693	 73791,8499	 6369480912991620000000000000000000000000000000000000000000000000000000000000000000000000,0000	 34887083756441094000000000000000000000000000000000000000000000000000000000000000000000000,0000	 636948091299162000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3488708375644110000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 10,5000%	 16,8600%	 87,3667%	 12,2263%	 12,6333%	 12,2263%
67	 338773,1201	 72729,9525	 2999338352671849700000000000000000000000000000000000000000000000000000,0000	 16428052733487580000000000000000000000000000000000000000000000000000000,0000	 299933835267185000000000000000000000000000000000000000000000000000000000,0000	 1642805273348757000000000000000000000000000000000000000000000000000000000,0000	 11,2000%	 14,7658%	 85,8000%	 16,5142%	 14,2000%	 16,5142%
68	 335930,5635	 73052,7591	 346595294662605960000000000000000000000000000000,0000	 1897581555579716300000000000000000000000000000000,0000	 34659529466260600000000000000000000000000000000000,0000	 189758155557971600000000000000000000000000000000000,0000	 10,9667%	 16,7095%	 88,2000%	 12,2739%	 11,8000%	 12,2739%
69	 338409,3103	 75226,6356	 32301955160611140000000000000000000000000000000000000000000000000000000,0000	 176677755534083670000000000000000000000000000000000000000000000000000000,0000	 3230195516061114000000000000000000000000000000000000000000000000000000000,0000	 17667775553408364000000000000000000000000000000000000000000000000000000000,0000	 11,9000%	 18,0275%	 90,6000%	 11,9441%	 9,4000%	 11,9441%
70	 337096,9368	 77120,6835	 4582912406848607700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 25101645043012754000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 458291240684860760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2510164504301277400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 11,7667%	 19,4842%	 90,8000%	 12,7804%	 9,2000%	 12,7804%
